Location,Hardness (°dH),ID
Ale,3,1
Alingsås,1,2
Alvesta,3.4,3
Aneby,6.5,4
Arboga,4.5,5
Arjeplog,1,6
Arvidsjaur,2.8,7
Arvika,5.4,8
Askersund,5.8,9
Avesta,5.6,10
Bengtsfors,4.8,11
Berg,5.7,12
Bjurholm,5,13
Bjuv,4,14
Boden,2.4,15
Bollebygd,2.8,16
Bollnäs,2.5,17
Borgholm,9.2,18
Borlänge,8,19
Borås,4.3,20
Botkyrka,5,21
Boxholm,6,22
Bromölla,4,23
Bräcke,2,24
Burlöv,10,25
Båstad,11.3,26
Dals-Ed,2,27
Danderyd,6,28
Degerfors,3.7,29
Dorotea,4,30
Eda,4.3,31
Ekerö,4,32
Eksjö,3.9,33
Emmaboda,4,34
Enköping,13.9,35
Eskilstuna,6.8,36
Eslöv,4,37
Essunga,5.5,38
Fagersta,6.5,39
Falkenberg,3.7,40
Falköping,3,41
Falun,6.1,42
Filipstad,1.3,43
Finspång,5.2,44
Flen,4.5,45
Forshaga,2.5,46
Färgelanda,5.7,47
Gagnef,5,48
Gislaved,3.4,49
Gnesta,6,50
Gnosjö,2.6,51
Gotland,13.6,52
Grums,5.7,53
Grästorp,1.6,54
Gullspång,5.8,55
Gällivare,3.2,56
Gävle,6.3,57
Göteborg,3,58
Götene,3.8,59
Habo,2.4,60
Hagfors,1,61
Hallsberg,7.4,62
Hallstahammar,3,63
Halmstad,4,64
Hammarö,3,65
Haninge,5.1,66
Haparanda,1,67
Heby,7,68
Hedemora,8.3,69
Helsingborg,5,70
Herrljunga,6,71
Hjo,2,72
Hofors,4.3,73
Huddinge,5,74
Hudiksvall,3,75
Hultsfred,3,76
Hylte,4.5,77
Hällefors,5.9,78
Härjedalen,3.5,79
Härnösand,5,80
Härryda,3,81
Hässleholm,6.3,82
Höganäs,6,83
Högsby,4.1,84
Hörby,9.8,85
Höör,8,86
Håbo,6,87
Jokkmokk,3.5,88
Järfälla,6,89
Jönköping,4.3,90
Kalix,2,91
Kalmar,9.2,92
Karlsborg,3,93
Karlshamn,6.7,94
Karlskoga,4,95
Karlskrona,4.6,96
Karlstad,3,97
Katrineholm,8.2,98
Kil,6.3,99
Kinda,5.2,100
Kiruna,3,101
Klippan,8,102
Knivsta,6,103
Kramfors,3.5,104
Kristianstad,10.6,105
Kristinehamn,3.3,106
Krokom,5.1,107
Kumla,6,108
Kungsbacka,4,109
Kungsör,6,110
Kungälv,3.3,111
Kävlinge,4,112
Köping,5,113
Laholm,6.4,114
Landskrona,4,115
Laxå,2.7,116
Lekeberg,12,117
Leksand,6.2,118
Lerum,3,119
Lessebo,2.2,120
Lidingö,6,121
Lidköping,1.6,122
Lilla Edet,5.7,123
Lindesberg,5.6,124
Linköping,5.7,125
Ljungby,4,126
Ljusdal,4.3,127
Ljusnarsberg,5.9,128
Lomma,4,129
Ludvika,3.2,130
Luleå,3.4,131
Lund,6.4,132
Lycksele,4.1,133
Lysekil,5,134
Malmö,6,135
Malung-Sälen,3.3,136
Malå,3,137
Mariestad,5.2,138
Mark,4.8,139
Markaryd,3,140
Mellerud,3,141
Mjölby,8.2,142
Mora,4.2,143
Motala,3.9,144
Mullsjö,4,145
Munkedal,5.2,146
Munkfors,1,147
Mölndal,2,148
Mönsterås,3.5,149
Mörbylånga,8.2,150
Nacka,4,151
Nora,5,152
Norberg,7,153
Nordanstig,3.8,154
Nordmaling,3,155
Norrköping,5.4,156
Norrtälje,6,157
Norsjö,2.5,158
Nybro,4.8,159
Nykvarn,5,160
Nyköping,7.9,161
Nynäshamn,6,162
Nässjö,4.4,163
Ockelbo,4.5,164
Olofström,7,165
Orsa,7,166
Orust,2,167
Osby,5.6,168
Oskarshamn,2,169
Ovanåker,1.8,170
Oxelösund,7,171
Pajala,4.2,172
Partille,2,173
Perstorp,3.4,174
Piteå,3,175
Ragunda,5,176
Robertsfors,3,177
Ronneby,3.6,178
Rättvik,5.9,179
Sala,5,180
Salem,4,181
Sandviken,4.3,182
Sigtuna,6,183
Simrishamn,15,184
Sjöbo,11.5,185
Skara,4,186
Skellefteå,2.8,187
Skinnskatteberg,2.5,188
Skurup,9,189
Skövde,4.7,190
Smedjebacken,4.8,191
Sollefteå,4.3,192
Sollentuna,6,193
Solna,6,194
Sorsele,3.3,195
Sotenäs,3,196
Staffanstorp,6,197
Stenungsund,4.2,198
Stockholm,5,199
Storfors,3,200
Storuman,3.6,201
Strängnäs,4,202
Strömstad,2.8,203
Strömsund,6,204
Sundbyberg,6,205
Sundsvall,6.7,206
Sunne,7,207
Surahammar,4,208
Svalöv,5.4,209
Svedala,6,210
Svenljunga,3.8,211
Säffle,4,212
Säter,9.5,213
Sävsjö,4,214
Söderhamn,2.8,215
Söderköping,7.6,216
Södertälje,4,217
Sölvesborg,13,218
Tanum,3.6,219
Tibro,2.7,220
Tidaholm,3,221
Tierp,8.4,222
Timrå,3,223
Tingsryd,3.3,224
Tjörn,2,225
Tomelilla,10.5,226
Torsby,4,227
Torsås,7.3,228
Tranemo,3.6,229
Tranås,5,230
Trelleborg,9,231
Trollhättan,3,232
Trosa,12.3,233
Tyresö,5,234
Täby,6,235
Töreboda,3.7,236
Uddevalla,6.6,237
Ulricehamn,5.9,238
Umeå,8,239
Upplands Väsby,6,240
Upplands-Bro,6,241
Uppsala,10.8,242
Uppvidinge,4.5,243
Vadstena,3,244
Vaggeryd,4,245
Valdemarsvik,4.1,246
Vallentuna,6,247
Vansbro,3.5,248
Vara,1.6,249
Varberg,4,250
Vaxholm,6,251
Vellinge,6,252
Vetlanda,4,253
Vilhelmina,5,254
Vimmerby,8,255
Vindeln,3,256
Vingåker,5,257
Vänersborg,2.7,258
Vännäs,4,259
Värmdö,9,260
Värnamo,6.3,261
Västervik,4.8,262
Västerås,5,263
Växjö,4.5,264
Vårgårda,8,265
Ystad,9,266
Älmhult,4.9,267
Älvdalen,2.1,268
Älvkarleby,13,269
Älvsbyn,4,270
Ängelholm,6,271
Öckerö,3,272
Ödeshög,2,273
Örebro,4.8,274
Örkelljunga,4.5,275
Örnsköldsvik,2.9,276
Östersund,5.7,277
Österåker,6,278
Östhammar,9,279
Östra Göinge,7.4,280
Överkalix,1,281
Övertorneå,3.2,282
Åmål,4.3,283
Ånge,5.4,284
Åre,4.8,285
Årjäng,4,286
Åsele,3.1,287
Åstorp,8.5,288
Åtvidaberg,3.6,289
